Year,DOI,Award,Track,Title,Author
2011,10.1109/VAST.2011.6102456,TT,VAST,SensePlace2: GeoTwitter analytics support for situational awareness.,"Alan M. MacEachren, Anuj Jaiswal, Anthony C. Robinson, Scott Pezanowski, Alexander Savelyev, Prasenjit Mitra, Xiao Zhang, and Justine Blanford."
2011,10.1109/TVCG.2011.185,TT,InfoVis,DÂ³: Data-Driven Documents.,"Michael Bostock, Vadim Ogievetsky, Jeffrey Heer."
2010,10.1109/TVCG.2010.161,BP,InfoVis,Graphical inference for infovis.,"Hadley Wickham, Dianne Cook, Heike Hofmann, Andreas Buja."
2010,10.1109/VAST.2010.5652926,BP,VAST,Visual readability analysis: How to make your writings easier to read.,"Daniela Oelke, David Spretke, Andreas Stoffel, Daniel A. Keim."
2010,10.1109/TVCG.2010.198,BP,Vis,Streak Lines as Tangent Curves of a Derived Vector field.,"Tino Weinkauf, Holger Theisel."
2010,10.1109/TVCG.2010.144,HM,InfoVis,Declarative Language Design for Interactive Visualization.,"Jeffrey Heer, Michael Bostock."
2010,10.1109/TVCG.2010.180,HM,InfoVis,Necklace Maps.,"authro Speckmann, Kevin Verbeek."
2010,10.1109/TVCG.2010.186,HM,InfoVis,Perceptual Guidelines for Creating Rectangular Treemaps.,"Nicholas Kong, Jeffrey Heer, Maneesh Agrawala."
2010,10.1109/TVCG.2010.191,HM,InfoVis,Rethinking Map Legends with Visualization.,"Jason Dykes, Jo Wood, Aidan Slingsby."
2010,10.1109/TVCG.2010.193,HM,InfoVis,SignalLens: Focus+Context Applied to Electronic Time Series.,Robert Kincaid.
2010,10.1109/VAST.2010.5652478,HM,VAST,Discovering bits of place histories from peopleâs activity traces.,"Gennady Andrienko, Natalia Andrienko, Martin Mladenov, Michael Mock, Christian PÃ¶litz."
2010,10.1109/VAST.2010.5652880,HM,VAST,An exploratory study of co-located collaborative visual analytics around a tabletop display.,"Petra Isenberg, Danyel Fisher, Meredith Ringel Morris, Kori Inkpen, Mary Czerwinski."
2010,10.1109/TVCG.2010.166,HM,Vis,Illustrative Stream Surfaces.,"Silvia Born, Alexander Wiebel, Jan Friedrich, Gerik Scheuermann, Dirk Bartz."
2010,10.1109/TVCG.2010.223,HM,Vis,World Lines.,"Jurgen Waser, Raphael Fuchs, Hrvoje Ribicic, Benjamin Schindler, Gunther Bloschl, Eduard Groller."
2010,10.1109/TVCG.2010.179,TT,InfoVis,Narrative Visualization: Telling Stories with Data.,"Edward Segel, Jeffrey Heer."
2010,10.1109/VAST.2010.5652443,TT,VAST,iVisClassifier: An interactive visual analytics system for classification based on supervised dimension reduction.,"Jaegul Choo, Hanseung Lee, Jaeyeon Kihm, Haesun Park."
2009,10.1109/TVCG.2009.116,BP,InfoVis,ABySS-Explorer: Visualizing Genome Sequence Assemblies.,"Cydney B. Nielsen, Shaun D. Jackman, InanÃ§ Birol, Steven J.M. Jones."
2009,10.1109/TVCG.2009.165,BP,InfoVis,Mapping Text with Phrase Nets.,"Frank van Ham, Martin Wattenberg, Fernanda B. Viegas."
2009,10.1109/VAST.2009.5333564,BP,VAST,Iterative integration of visual insights during patent search and analysis.,"Steffen Koch, Harald Bosch, Mark Giereth, Thomas Ertl."
2009,10.1109/TVCG.2009.138,BP,Vis,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data.,"Maarten H. Everts, Henk Bekker, Jos B.T.M. Roerdink, Tobias Isenberg."
2009,10.1109/TVCG.2009.128,HM,InfoVis,Configuring Hierarchical Layouts to Address Research Questions.,"Aidan Slingsby, Jason Dykes, Jo Wood."
2009,10.1109/TVCG.2009.151,HM,InfoVis,Interaction Techniques for Selecting and Manipulating Subgraphs in Network Visualizations.,"Michael J. McGuffin, Igor Jurisica."
