Year,DOI,Title,Number of Authors,Author Name,Author Position,Author Position Type,OpenAlex Author ID,Author ORCID,Number of Affiliations,First Institution Name,Raw Affiliation String,First Institution ID,First Institution ROR,First Institution Type,First Institution Country Code
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4,Gordon Kindlmann,1,first,https://openalex.org/A275330042,,1.0,University of Utah,"Inst. of Sci. Comput. & Imaging, Utah Univ., Salt Lake, UT, USA",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4,Ross T. Whitaker,2,middle,https://openalex.org/A2124784654,,1.0,University of Utah,"Inst. of Sci. Comput. & Imaging, Utah Univ., Salt Lake, UT, USA",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4,Tolga Tasdizen,3,middle,https://openalex.org/A176641044,https://orcid.org/0000-0001-5076-0217,1.0,University of Utah,"Inst. of Sci. Comput. & Imaging, Utah Univ., Salt Lake, UT, USA",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4,Torsten Möller,4,last,https://openalex.org/A2682213054,https://orcid.org/0000-0003-1192-0710,1.0,Simon Fraser University,[Simon Fraser University],https://openalex.org/I18014758,https://ror.org/0213rcc28,education,CA
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",2,John Stasko,1,first,https://openalex.org/A2087252583,https://orcid.org/0000-0003-4129-7659,1.0,Georgia Institute of Technology,"GVU Center, Georgia Inst. of Technol., Atlanta, GA, USA#TAB#",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",2,Eugene Zhang,2,last,https://openalex.org/A2134310558,,1.0,Georgia Institute of Technology,#N#‡#N#Georgia Institute of Technology#N#,https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,2,J.J. van Wijk,1,first,https://openalex.org/A2317229737,,1.0,Eindhoven University of Technology,"Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Netherlands",https://openalex.org/I83019370,https://ror.org/02c2kyt77,education,NL
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,2,E.R. van Selow,2,last,https://openalex.org/A3161861458,,1.0,Chemical Reactor Engineering,Chemical Reactor Engineering,,,,
1999,10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,1,Hoppe,1,first,https://openalex.org/A3151138253,,,,,,,,
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Ramesh Raskar,1,first,https://openalex.org/A2140705446,https://orcid.org/0000-0002-3254-3224,1.0,University of North Carolina at Chapel Hill,"Dept. of Comput. Sci., North Carolina, Univ., Chapel Hill, NC, USA",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Michael S. Brown,2,middle,https://openalex.org/A2594426199,,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Ruigang Yang,3,middle,https://openalex.org/A2128441350,https://orcid.org/0000-0001-5296-6307,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Wei-Chao Chen,4,middle,https://openalex.org/A2126800556,,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Gregory F. Welch,5,middle,https://openalex.org/A2119776096,https://orcid.org/0000-0002-8243-646X,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Herman Towles,6,middle,https://openalex.org/A1967971791,,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,B. Scales,7,middle,https://openalex.org/A3161433347,,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8,Henry Fuchs,8,last,https://openalex.org/A2196043388,,1.0,University of North Carolina at Chapel Hill,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
