Year,DOI,Title,OpenAlex Year,OpenAlex ID,OpenAlex Title,OpenAlex DOI,OpenAlex URL,OpenAlex Venue,OpenAlex Journal,OpenAlex Publisher,OpenAlex First Page,OpenAlex Last Page
2011,10.1109/VAST.2011.6102456,SensePlace2: GeoTwitter analytics support for situational awareness,2011.0,https://openalex.org/W1992399362,SensePlace2: GeoTwitter analytics support for situational awareness,https://doi.org/10.1109/vast.2011.6102456,https://doi.org/10.1109/vast.2011.6102456,,visual analytics science and technology,IEEE,181,190
2005,10.1109/VISUAL.2005.1532781,The value of visualization,2005.0,https://openalex.org/W2142068257,The value of visualization,https://doi.org/10.1109/vis.2005.102,https://doi.org/10.1109/vis.2005.102,,ieee visualization,IEEE,79,86
2011,10.1109/TVCG.2011.239,TextFlow: Towards Better Understanding of Evolving Topics in Text,2011.0,https://openalex.org/W2099223662,TextFlow: Towards Better Understanding of Evolving Topics in Text,https://doi.org/10.1109/tvcg.2011.239,https://doi.org/10.1109/tvcg.2011.239,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,2412,2421
2000,10.1109/VISUAL.2000.885694,Volume illustration: non-photorealistic rendering of volume models,2000.0,https://openalex.org/W2144505248,Volume illustration: non-photorealistic rendering of volume models,https://doi.org/10.5555/375213.375241,https://doi.org/10.1109/VISUAL.2000.885694,,ieee visualization,IEEE Computer Society Press,195,202
1991,10.1109/VISUAL.1991.175794,Interactive data visualization using focusing and linking,1991.0,https://openalex.org/W2074126466,Interactive data visualization using focusing and linking,https://doi.org/10.5555/949607.949633,https://doi.org/10.1109/VISUAL.1991.175794,,ieee visualization,IEEE Computer Society Press,156,163
2004,10.1109/INFVIS.2004.15,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,2004.0,https://openalex.org/W2163925089,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,https://doi.org/10.1109/infovis.2004.15,http://dx.doi.org/10.1109/INFVIS.2004.15,,ieee symposium on information visualization,IEEE Computer Society,89,96
2008,10.1109/TVCG.2008.125,Effectiveness of Animation in Trend Visualization,2008.0,https://openalex.org/W2108230739,Effectiveness of Animation in Trend Visualization,https://doi.org/10.1109/tvcg.2008.125,https://doi.org/10.1109/tvcg.2008.125,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1325,1332
2009,10.1109/TVCG.2009.174,Protovis: A Graphical Toolkit for Visualization,2009.0,https://openalex.org/W2098417174,Protovis: A Graphical Toolkit for Visualization,https://doi.org/10.1109/tvcg.2009.174,https://doi.org/10.1109/tvcg.2009.174,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1121,1128
2013,10.1109/TVCG.2013.124,A Multi-Level Typology of Abstract Visualization Tasks,2013.0,https://openalex.org/W2073800769,A Multi-Level Typology of Abstract Visualization Tasks,https://doi.org/10.1109/tvcg.2013.124,https://doi.org/10.1109/tvcg.2013.124,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,2376,2385
1990,10.1109/VISUAL.1990.146386,Exploring N-dimensional databases,1990.0,https://openalex.org/W2079257256,Exploring N-dimensional databases,https://doi.org/10.5555/949531.949568,https://doi.org/10.1109/VISUAL.1990.146386,,ieee visualization,IEEE Computer Society Press,230,237
2001,10.1109/VISUAL.2001.964533,Visualization of large terrains made easy,2001.0,https://openalex.org/W2105079573,Visualization of large terrains made easy,https://doi.org/10.5555/601671.601729,http://pascucci.org/pdf-papers/vis2001.pdf,,ieee visualization,IEEE Computer Society,363,371
2008,10.1109/TVCG.2008.135,Geometry-Based Edge Clustering for Graph Visualization,2008.0,https://openalex.org/W2148056538,Geometry-Based Edge Clustering for Graph Visualization,https://doi.org/10.1109/tvcg.2008.135,https://doi.org/10.1109/tvcg.2008.135,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1277,1284
1999,10.1109/INFVIS.1999.801860,Cushion treemaps: visualization of hierarchical information,1999.0,https://openalex.org/W1735790193,Cushion treemaps: visualization of hierarchical information,https://doi.org/10.1109/infvis.1999.801860,https://doi.org/10.1109/infvis.1999.801860,,ieee symposium on information visualization,IEEE Computer Society,73,78
2008,10.1109/TVCG.2008.172,"The Word Tree, an Interactive Visual Concordance",2008.0,https://openalex.org/W2141880430,"The Word Tree, an Interactive Visual Concordance",https://doi.org/10.1109/tvcg.2008.172,https://doi.org/10.1109/tvcg.2008.172,https://openalex.org/V84775595,IEEE Transactions on Visualization and Computer Graphics,Institute of Electrical and Electronics Engineers,1221,1228
1996,10.1109/VISUAL.1996.568125,Optimizing triangle strips for fast rendering,1996.0,https://openalex.org/W2134859956,Optimizing triangle strips for fast rendering,https://doi.org/10.5555/244979.245626,https://www3.cs.stonybrook.edu/~stripe/stripeVIS.pdf,,ieee visualization,IEEE Computer Society Press,319,326
2007,10.1109/VAST.2007.4389011,Design Considerations for Collaborative Visual Analytics,2007.0,https://openalex.org/W2093903345,Design Considerations for Collaborative Visual Analytics,https://doi.org/10.1109/vast.2007.4389011,https://doi.org/10.1109/vast.2007.4389011,,visual analytics science and technology,Palgrave Macmillan,171,178
1995,10.1109/VISUAL.1995.485139,High Dimensional Brushing for Interactive Exploration of Multivariate Data,1995.0,https://openalex.org/W1497740227,High Dimensional Brushing for Interactive Exploration of Multivariate Data,https://doi.org/10.5555/832271.833844,https://doi.org/10.1109/VISUAL.1995.485139,,ieee visualization,IEEE Computer Society,271,
1998,10.1109/INFVIS.1998.729559,Similarity clustering of dimensions for an enhanced visualization of multidimensional data,1998.0,https://openalex.org/W1613201427,Similarity clustering of dimensions for an enhanced visualization of multidimensional data,https://doi.org/10.1109/infvis.1998.729559,https://doi.org/10.1109/infvis.1998.729559,,ieee symposium on information visualization,IEEE Computer Society,52,60
2001,10.1109/INFVIS.2001.963279,Animated exploration of dynamic graphs with radial layout,2001.0,https://openalex.org/W2099166093,Animated exploration of dynamic graphs with radial layout,https://doi.org/10.1109/infvis.2001.963279,https://doi.org/10.1109/infvis.2001.963279,,ieee symposium on information visualization,IEEE Computer Society,43,50
2005,10.1109/INFVIS.2005.1532150,Flow map layout,2005.0,https://openalex.org/W1593641494,Flow map layout,https://doi.org/10.1109/infovis.2005.13,https://doi.org/10.1109/infovis.2005.13,,ieee symposium on information visualization,IEEE Computer Society,29,29
2002,10.1109/VISUAL.2002.1183766,Geometric surface smoothing via anisotropic diffusion of normals,2002.0,https://openalex.org/W2110600113,Geometric surface smoothing via anisotropic diffusion of normals,https://doi.org/10.5555/602099.602117,https://doi.org/10.1109/VISUAL.2002.1183766,,ieee visualization,IEEE Computer Society,125,132
1995,10.1109/VISUAL.1995.485140,Recursive pattern: a technique for visualizing very large amounts of data,1995.0,https://openalex.org/W2146520578,Recursive pattern: a technique for visualizing very large amounts of data,https://doi.org/10.5555/832271.833846,http://dx.doi.org/10.1109/VISUAL.1995.485140,,ieee visualization,IEEE Computer Society,279,286
1999,10.1109/VISUAL.1999.809908,Multiresolution Techniques for Interactive Texture-based Volume Visualization,1999.0,https://openalex.org/W3147279153,Multiresolution techniques for interactive texture-based volume visualization,https://doi.org/10.1109/visual.1999.809908,https://doi.org/10.1109/visual.1999.809908,,ieee visualization,,355,543
1996,10.1109/INFVIS.1996.559214,Techniques for non-linear magnification transformations,1996.0,https://openalex.org/W2119664536,Techniques for non-linear magnification transformations,https://doi.org/10.1109/infvis.1996.559214,https://doi.org/10.1109/infvis.1996.559214,,ieee symposium on information visualization,IEEE Computer Society,38,45
