Conference,Year,Title,DOI
VIS,2021,A Memory Efficient Encoding for Ray Tracing Large Unstructured Data,10.1109/tvcg.2021.3114869
VIS,2021,Pyramid-based Scatterplots Sampling for Progressive and Streaming Data Visualization,10.1109/tvcg.2021.3114880
VIS,2021,KD-Box: Line-segment-based KD-tree for Interactive Exploration of Large-scale Time-Series Data,10.1109/tvcg.2021.3114865
VIS,2021,Sequen-C: A Multilevel Overview of Temporal Event Sequences,10.1109/tvcg.2021.3114868
VIS,2021,EVis: Visually Analyzing Environmentally Driven Events,10.1109/tvcg.2021.3114867
VIS,2021,HisVA: a Visual Analytics System for Learning History,10.1109/tvcg.2021.3086414
VIS,2021,SSR-TVD: Spatial Super-Resolution for Time-Varying Data Analysis and Visualization,10.1109/tvcg.2020.3032123
VIS,2021,Multi-level Area Balancing of Clustered Graphs,10.1109/tvcg.2020.3038154
VIS,2021,Edge-Path Bundling: A Less Ambiguous Edge Bundling Approach,10.1109/tvcg.2021.3114795
VIS,2021,Interactive Visual Pattern Search on Graph Data via Graph Representation Learning,10.1109/tvcg.2021.3114857
VIS,2021,"Left, Right, and Gender: Exploring Interaction Traces to Mitigate Human Biases",10.1109/tvcg.2021.3114862
VIS,2021,VisQA: X-raying Vision and Language Reasoning in Transformers,10.1109/tvcg.2021.3114683
VIS,2021,The Weighted Average Illusion: Biases in Perceived Mean Position in Scatterplots,10.1109/tvcg.2021.3114783
VIS,2021,Impact of Cognitive Biases on Progressive Visualization,10.1109/tvcg.2021.3051013
VIS,2021,Improving Visualization Interpretation Using Counterfactuals,10.1109/tvcg.2021.3114779
VIS,2021,Lumos: Increasing Awareness of Analytic Behavior during Visual Data Analysis,10.1109/tvcg.2021.3114827
VIS,2021,Kineticharts: Augmenting Affective Expressiveness of Charts in Data Stories with Animation Design,10.1109/tvcg.2021.3114775
VIS,2021,Declutter and Focus: Empirically Evaluating Design Guidelines for Effective Data Communication,10.1109/tvcg.2021.3068337
VIS,2021,Showing Data about People: A Design Space of Anthropographics,10.1109/tvcg.2020.3023013
VIS,2021,Visual Arrangements of Bar Charts Influence Comparisons in Viewer Takeaways,10.1109/tvcg.2021.3114823
VIS,2021,Generative Design Inspiration for Glyphs with Diatoms,10.1109/tvcg.2021.3114792
VIS,2021,GlyphCreator: Towards Automatic Generation of Example-based Circular Glyphs,10.1109/tvcg.2021.3114877
VIS,2021,Shape-driven Coordinate Ordering for Star Glyph Sets via Reinforcement Learning,10.1109/tvcg.2021.3052167
VIS,2021,F2-Bubbles: Faithful Bubble Set Construction and Flexible Editing,10.1109/tvcg.2021.3114761
VIS,2021,spEuler: Semantics-preserving Euler Diagrams,10.1109/tvcg.2021.3114834
VIS,2021,Visualization of 3D Stress Tensor Fields Using Superquadric Glyphs on Displacement Streamlines,10.1109/tvcg.2020.2968911
VIS,2021,Visualizing Uncertainty in Probabilistic Graphs with Network Hypothetical Outcome Plots (NetHOPs),10.1109/tvcg.2021.3114679
VIS,2021,"Implicit Error, Uncertainty and Confidence in Visualization: an Archaeological Case Study",10.1109/tvcg.2021.3088339
VIS,2021,Can Visualization Alleviate Dichotomous Thinking? Effects of Visual Representations on the Cliff Effect,10.1109/tvcg.2021.3073466
VIS,2021,Effect of Uncertainty Visualizations on Myopic Loss Aversion and Equity Premium Puzzle in Retirement Investment Decisions,10.1109/tvcg.2021.3114692
VIS,2021,Inspecting the Running Process of Horizontal Federated Learning via Visual Analytics,10.1109/tvcg.2021.3074010
VIS,2021,An Evaluation-Focused Framework for Visualization Recommendation Algorithms,10.1109/tvcg.2021.3114814
VIS,2021,FairRankVis: A Visual Analytics Framework for Exploring Algorithmic Fairness in Graph Mining Models,10.1109/tvcg.2021.3114850
VIS,2021,embComp: Visual Interactive Comparison of Vector Embeddings,10.1109/tvcg.2020.3045918
VIS,2021,VBridge: Connecting the Dots Between Features and Data to Explain Healthcare Models,10.1109/tvcg.2021.3114836
VIS,2021,Scope2Screen: Focus+Context Techniques for Pathology Tumor Assessment in Multivariate Image Data,10.1109/tvcg.2021.3114786
VIS,2021,Multiscale Unfolding: Illustratively Visualizing the Whole Genome at a Glance,10.1109/tvcg.2021.3065443
VIS,2021,Rapid Labels: Point-Feature Labeling on GPU,10.1109/tvcg.2021.3114854
VIS,2021,An Efficient Dual-Hierarchy tSNE Minimization,10.1109/tvcg.2021.3114817
VIS,2021,Joint t-SNE for Comparable Projections of Multiple High-Dimensional Datasets,10.1109/tvcg.2021.3114765
VIS,2021,Automatic Polygon Layout for Primal-Dual Visualization of Hypergraphs,10.1109/tvcg.2021.3114759
