Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Type
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3.0,3.0,C. Hansen,https://openalex.org/A2059591427,"Scientific Computing and Imaging Institute, School of Computing, University of Utah, USA",education
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,1.0,Alexander Lex,https://openalex.org/A2034595988,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,education
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,2.0,Nils Gehlenborg,https://openalex.org/A257767137,Harvard Medical School,education
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,3.0,Hendrik Strobelt,https://openalex.org/A2499608054,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,education
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,4.0,Romain Vuillemot,https://openalex.org/A1275326801,Romain Vuillemot is with Harvard University,education
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,5.0,Hanspeter Pfister,https://openalex.org/A2102290556,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,education
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3.0,1.0,R. Amar,https://openalex.org/A2135995127,"Georgia Institute of Technology,College of Computing, GVU Center",education
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3.0,2.0,J. Eagan,https://openalex.org/A2036409498,"Georgia Institute of Technology,College of Computing, GVU Center",education
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3.0,3.0,J. Stasko,https://openalex.org/A2087252583,"Georgia Institute of Technology,College of Computing, GVU Center",education
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3.0,1.0,S. Havre,https://openalex.org/A3182372061,"Northwest Division, Battlle-Pacific Northwest, Richland, WA, USA",facility
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3.0,2.0,B. Hetzler,https://openalex.org/A1905796687,"Northwest Division, Battlle-Pacific Northwest, Richland, WA, USA",facility
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3.0,3.0,L. Nowell,https://openalex.org/A2573493279,"Northwest Division, Battlle-Pacific Northwest, Richland, WA, USA",facility
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,1.0,G. Kindlmann,https://openalex.org/A275330042,"Scientific Computing and Imaging Institute, University of Utah, USA",education
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,2.0,R. Whitaker,https://openalex.org/A2124784654,"Scientific Computing and Imaging Institute, University of Utah, USA",education
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,3.0,T. Tasdizen,https://openalex.org/A176641044,"Scientific Computing and Imaging Institute, University of Utah, USA",education
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,4.0,T. Moller,https://openalex.org/A2682213054,"Graphics, Usability, and Visualization (GrUVi) Laboratory, Simon Fraser University, Canada",education
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",2.0,1.0,J. Stasko,https://openalex.org/A2087252583,"GVU Center and College of Computing, Georgia Institute of Technology, Atlanta, GA, USA",education
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",2.0,2.0,E. Zhang,https://openalex.org/A2134310558,"GVU Center and College of Computing, Georgia Institute of Technology, Atlanta, GA, USA",education
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,2.0,1.0,J.J. Van Wijk,https://openalex.org/A2317229737,"Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands",education
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,2.0,2.0,E.R. Van Selow,https://openalex.org/A3161861458,"Netherlands Energy Research Foundation, Petten, Netherlands",facility
1999,10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,1.0,1.0,H. Hoppe,https://openalex.org/A3151138253,"Microsoft Research Limited, USA",company
